scope,audit_subset,pair,feature_idx,n_samples,gradxinput_mean,gradxinput_median,gradxinput_positive_frac,abs_gradxinput_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
subset,all_wrong_high_conf,ALL,47,320,0.0102295633405447,0.0007634657667949796,0.546875,0.01994367688894272,svcscan.fs_drivers,discrete_compact_offset0,0.0001706630258554,0.7,0.0038660702130916,0.9990400204795632
subset,all_wrong_high_conf,ALL,48,320,-0.015132713131606579,0.0006091154646128416,0.546875,0.0705127939581871,svcscan.process_services,discrete_compact_offset0,0.0002559945387831,0.4285714285714285,0.3262482609122556,0.590664732485707
subset,all_wrong_high_conf,ALL,49,320,-0.03230138123035431,-0.0015256961341947317,0.421875,0.059112995862960815,svcscan.shared_process_services,discrete_compact_offset0,0.0004693233211024,0.6363636363636364,0.2762666726609017,0.4982080382285178
subset,all_wrong_high_conf,ALL,50,320,0.0018494082614779472,7.948721759021282e-06,0.50625,0.005537635646760464,svcscan.interactive_process_services,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,all_wrong_high_conf,ALL,51,320,-0.06261038780212402,-0.0025199512019753456,0.4625,0.26524853706359863,svcscan.nactive,discrete_compact_offset0,0.0005119890775663,0.4117647058823529,0.6257817858570436,0.2431094803310862
subset,all_wrong_high_conf,ALL,52,320,-0.0022657737135887146,-0.000620255246758461,0.48125,0.134419247508049,callbacks.ncallbacks,discrete_compact_offset0,0.0001493301476235,0.3076923076923077,0.4401119934117515,0.4277028756719856
subset,all_wrong_high_conf,ALL,53,320,0.000285190821159631,9.242445230484009e-06,0.503125,0.0033038973342627287,callbacks.nanonymous,discrete_compact_offset0,0.0,0.0,0.009929783324449,0.9991466848707228
subset,all_wrong_high_conf,ALL,54,320,0.0018445325549691916,-8.270714897662401e-05,0.48125,0.006729147396981716,callbacks.ngeneric,discrete_compact_offset0,0.0,0.0,0.0018398586095722,0.9998720027306084
pair_subset,all_wrong_high_conf,Benign→Ransomware,0,1,0.16083230078220367,0.16083230078220367,1.0,0.16083230078220367,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair_subset,all_wrong_high_conf,Benign→Ransomware,1,1,-0.017733663320541382,-0.017733663320541382,0.0,0.017733663320541382,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair_subset,all_wrong_high_conf,Benign→Ransomware,2,1,-0.026947513222694397,-0.026947513222694397,0.0,0.026947513222694397,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair_subset,all_wrong_high_conf,Benign→Ransomware,3,1,0.043307140469551086,0.043307140469551086,1.0,0.043307140469551086,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair_subset,all_wrong_high_conf,Benign→Ransomware,4,1,-0.0029753725975751877,-0.0029753725975751877,0.0,0.0029753725975751877,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair_subset,all_wrong_high_conf,Benign→Ransomware,5,1,0.01527860015630722,0.01527860015630722,1.0,0.01527860015630722,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair_subset,all_wrong_high_conf,Benign→Ransomware,6,1,-0.007155463099479675,-0.007155463099479675,0.0,0.007155463099479675,dlllist.avg_dlls_per_proc,rank_uniform_offset,0.0,0.0,0.8727011258819214,0.0405751343971328
pair_subset,all_wrong_high_conf,Benign→Ransomware,7,1,0.005519364960491657,0.005519364960491657,1.0,0.005519364960491657,handles.nhandles,rank_uniform_offset,0.0,0.0,0.9198092477997551,0.0156583326222373
pair_subset,all_wrong_high_conf,Benign→Ransomware,8,1,-0.01695188321173191,-0.01695188321173191,0.0,0.01695188321173191,handles.avg_handles_per_proc,rank_uniform_offset,0.0,0.0,0.9584890477296152,0.0121810734704326
pair_subset,all_wrong_high_conf,Benign→Ransomware,9,1,0.01539525669068098,0.01539525669068098,1.0,0.01539525669068098,handles.nport,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair_subset,all_wrong_high_conf,Benign→Ransomware,10,1,-0.3944186568260193,-0.3944186568260193,0.0,0.3944186568260193,handles.nfile,keep_current,0.0,0.0,0.965457167902262,0.0166609778991381
