audit_subset,pair,feature_idx,feature,strategy,n_samples,scope,last_cls_attention_mean,last_cls_attention_median,rollout_attention_mean,rollout_attention_median
feature_space_overlap,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,43,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,44,modules.nmodules,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,44,modules.nmodules,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,44,modules.nmodules,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,44,modules.nmodules,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,44,modules.nmodules,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,45,svcscan.nservices,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,45,svcscan.nservices,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,45,svcscan.nservices,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,45,svcscan.nservices,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,45,svcscan.nservices,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,46,svcscan.kernel_drivers,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,46,svcscan.kernel_drivers,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,46,svcscan.kernel_drivers,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,46,svcscan.kernel_drivers,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,46,svcscan.kernel_drivers,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,47,svcscan.fs_drivers,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,48,svcscan.process_services,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,48,svcscan.process_services,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,48,svcscan.process_services,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,48,svcscan.process_services,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,48,svcscan.process_services,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,49,svcscan.shared_process_services,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,49,svcscan.shared_process_services,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,49,svcscan.shared_process_services,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,49,svcscan.shared_process_services,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,49,svcscan.shared_process_services,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,50,svcscan.interactive_process_services,constant,320,subset,,,,
cls_ood_confident,ALL,50,svcscan.interactive_process_services,constant,320,subset,,,,
correct_high_conf_control,ALL,50,svcscan.interactive_process_services,constant,320,subset,,,,
feature_space_overlap,ALL,50,svcscan.interactive_process_services,constant,320,subset,,,,
model_amplification,ALL,50,svcscan.interactive_process_services,constant,320,subset,,,,
all_wrong_high_conf,ALL,51,svcscan.nactive,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,51,svcscan.nactive,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,51,svcscan.nactive,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,51,svcscan.nactive,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,51,svcscan.nactive,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,52,callbacks.ncallbacks,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,53,callbacks.nanonymous,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,53,callbacks.nanonymous,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,53,callbacks.nanonymous,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,53,callbacks.nanonymous,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,53,callbacks.nanonymous,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,54,callbacks.ngeneric,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,54,callbacks.ngeneric,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,54,callbacks.ngeneric,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,54,callbacks.ngeneric,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,54,callbacks.ngeneric,discrete_compact_offset0,320,subset,,,,
